"key","value","date"
"brown",1,"01/01/09"
"brown",1,"03/01/09"
"brown",2,"04/01/09"
"brown",147,"05/01/09"
"brown",13,"06/01/09"
"brown",1,"07/01/09"
"brown",1,"08/01/09"
"brown",179,"09/01/09"
"brown",215,"10/01/09"
"brown",98,"11/01/09"
"brown",147,"12/01/09"
"brown",179,"01/01/10"
"brown",172,"02/01/10"
"brown",187,"03/01/10"
"brown",52,"04/01/10"
"brown",13,"05/01/10"
"brown",147,"06/01/10"
"brown",3,"07/01/10"
"brown",232,"08/01/10"
"brown",15,"09/01/10"
"brown",176,"10/01/10"
"brown",98,"11/01/10"
"brown",44,"12/01/10"
"brown",1,"01/01/11"
"brown",1,"03/01/11"
"brown",1,"04/01/11"
"brown",1,"05/01/11"
"brown",1,"06/01/11"
"brown",1,"08/01/11"
"brown",1,"09/01/11"
"brown",1,"01/01/12"
"brown",1,"02/01/12"
"brown",1,"03/01/12"
"brown",1,"04/01/12"
"brown",1,"07/01/12"
"brown",1,"08/01/12"
"brown",1,"09/01/12"
"brown",2,"10/01/12"
"brown",2,"11/01/12"
"brown",2,"12/01/12"
"brown",1,"12/01/14"
"cameron",1,"01/01/09"
"cameron",1,"03/01/09"
"cameron",2,"04/01/09"
"cameron",147,"05/01/09"
"cameron",13,"06/01/09"
"cameron",1,"07/01/09"
"cameron",1,"08/01/09"
"cameron",179,"09/01/09"
"cameron",215,"10/01/09"
"cameron",98,"11/01/09"
"cameron",147,"12/01/09"
"cameron",179,"01/01/10"
"cameron",172,"02/01/10"
"cameron",187,"03/01/10"
"cameron",52,"04/01/10"
"cameron",13,"05/01/10"
"cameron",147,"06/01/10"
"cameron",3,"07/01/10"
"cameron",232,"08/01/10"
"cameron",15,"09/01/10"
"cameron",176,"10/01/10"
"cameron",98,"11/01/10"
"cameron",44,"12/01/10"
"cameron",1,"01/01/11"
"cameron",1,"03/01/11"
"cameron",1,"04/01/11"
"cameron",1,"05/01/11"
"cameron",1,"06/01/11"
"cameron",1,"08/01/11"
"cameron",1,"09/01/11"
"cameron",1,"01/01/12"
"cameron",1,"02/01/12"
"cameron",1,"03/01/12"
"cameron",1,"04/01/12"
"cameron",1,"07/01/12"
"cameron",1,"08/01/12"
"cameron",1,"09/01/12"
"cameron",2,"10/01/12"
"cameron",2,"11/01/12"
"cameron",2,"12/01/12"
"cameron",1,"12/01/14"
"deal",1,"01/01/09"
"deal",1,"03/01/09"
"deal",2,"04/01/09"
"deal",147,"05/01/09"
"deal",13,"06/01/09"
"deal",1,"07/01/09"
"deal",1,"08/01/09"
"deal",179,"09/01/09"
"deal",215,"10/01/09"
"deal",98,"11/01/09"
"deal",147,"12/01/09"
"deal",179,"01/01/10"
"deal",172,"02/01/10"
"deal",187,"03/01/10"
"deal",52,"04/01/10"
"deal",13,"05/01/10"
"deal",147,"06/01/10"
"deal",3,"07/01/10"
"deal",232,"08/01/10"
"deal",15,"09/01/10"
"deal",176,"10/01/10"
"deal",98,"11/01/10"
"deal",44,"12/01/10"
"deal",1,"01/01/11"
"deal",1,"03/01/11"
"deal",1,"04/01/11"
"deal",1,"05/01/11"
"deal",1,"06/01/11"
"deal",1,"08/01/11"
"deal",1,"09/01/11"
"deal",1,"01/01/12"
"deal",1,"02/01/12"
"deal",1,"03/01/12"
"deal",1,"04/01/12"
"deal",1,"07/01/12"
"deal",1,"08/01/12"
"deal",1,"09/01/12"
"deal",2,"10/01/12"
"deal",2,"11/01/12"
"deal",2,"12/01/12"
"deal",1,"12/01/14"
"election",1,"01/01/09"
"election",1,"03/01/09"
"election",2,"04/01/09"
"election",147,"05/01/09"
"election",13,"06/01/09"
"election",1,"07/01/09"
"election",1,"08/01/09"
"election",179,"09/01/09"
"election",215,"10/01/09"
"election",98,"11/01/09"
"election",147,"12/01/09"
"election",179,"01/01/10"
"election",172,"02/01/10"
"election",187,"03/01/10"
"election",52,"04/01/10"
"election",13,"05/01/10"
"election",147,"06/01/10"
"election",3,"07/01/10"
"election",232,"08/01/10"
"election",15,"09/01/10"
"election",176,"10/01/10"
"election",98,"11/01/10"
"election",44,"12/01/10"
"election",1,"01/01/11"
"election",1,"03/01/11"
"election",1,"04/01/11"
"election",1,"05/01/11"
"election",1,"06/01/11"
"election",1,"08/01/11"
"election",1,"09/01/11"
"election",1,"01/01/12"
"election",1,"02/01/12"
"election",1,"03/01/12"
"election",1,"04/01/12"
"election",1,"07/01/12"
"election",1,"08/01/12"
"election",1,"09/01/12"
"election",2,"10/01/12"
"election",2,"11/01/12"
"election",2,"12/01/12"
"election",1,"12/01/14"
"government",1,"01/01/09"
"government",97,"03/01/09"
"government",124,"04/01/09"
"government",119,"05/01/09"
"government",159,"06/01/09"
"government",119,"07/01/09"
"government",113,"08/01/09"
"government",127,"09/01/09"
"government",98,"10/01/09"
"government",230,"11/01/09"
"government",209,"12/01/09"
"government",212,"01/01/10"
"government",197,"02/01/10"
"government",79,"03/01/10"
"government",127,"04/01/10"
"government",88,"05/01/10"
"government",210,"06/01/10"
"government",26,"07/01/10"
"government",96,"08/01/10"
"government",90,"09/01/10"
"government",209,"10/01/10"
"government",10,"11/01/10"
"government",163,"12/01/10"
"government",1,"01/01/11"
"government",2,"03/01/11"
"government",1,"04/01/11"
"government",1,"05/01/11"
"government",1,"06/01/11"
"government",1,"08/01/11"
"government",1,"09/01/11"
"government",1,"01/01/12"
"government",1,"02/01/12"
"government",1,"03/01/12"
"government",1,"04/01/12"
"government",1,"07/01/12"
"government",1,"08/01/12"
"government",106,"09/01/12"
"government",215,"10/01/12"
"government",97,"11/01/12"
"government",97,"12/01/12"
"government",1,"12/01/14"
"house",1,"01/01/09"
"house",34,"03/01/09"
"house",186,"04/01/09"
"house",84,"05/01/09"
"house",62,"06/01/09"
"house",37,"07/01/09"
"house",226,"08/01/09"
"house",89,"09/01/09"
"house",16,"10/01/09"
"house",120,"11/01/09"
"house",117,"12/01/09"
"house",81,"01/01/10"
"house",139,"02/01/10"
"house",131,"03/01/10"
"house",35,"04/01/10"
"house",93,"05/01/10"
"house",104,"06/01/10"
"house",57,"07/01/10"
"house",184,"08/01/10"
"house",164,"09/01/10"
"house",115,"10/01/10"
"house",92,"11/01/10"
"house",65,"12/01/10"
"house",1,"01/01/11"
