"key","value","date"
"americans",1,"01/01/09"
"americans",97,"03/01/09"
"americans",119,"04/01/09"
"americans",98,"05/01/09"
"americans",44,"06/01/09"
"americans",91,"07/01/09"
"americans",113,"08/01/09"
"americans",72,"09/01/09"
"americans",215,"10/01/09"
"americans",191,"11/01/09"
"americans",206,"12/01/09"
"americans",207,"01/01/10"
"americans",44,"02/01/10"
"americans",182,"03/01/10"
"americans",225,"04/01/10"
"americans",235,"05/01/10"
"americans",170,"06/01/10"
"americans",220,"07/01/10"
"americans",168,"08/01/10"
"americans",132,"09/01/10"
"americans",98,"10/01/10"
"americans",207,"11/01/10"
"americans",225,"12/01/10"
"americans",1,"01/01/11"
"americans",1,"03/01/11"
"americans",1,"04/01/11"
"americans",1,"05/01/11"
"americans",1,"06/01/11"
"americans",1,"08/01/11"
"americans",1,"09/01/11"
"americans",1,"01/01/12"
"americans",1,"02/01/12"
"americans",1,"03/01/12"
"americans",1,"04/01/12"
"americans",1,"07/01/12"
"americans",1,"08/01/12"
"americans",98,"09/01/12"
"americans",1,"10/01/12"
"americans",2,"11/01/12"
"americans",2,"12/01/12"
"americans",1,"12/01/14"
"democrats",1,"01/01/09"
"democrats",1,"03/01/09"
"democrats",13,"04/01/09"
"democrats",34,"05/01/09"
"democrats",52,"06/01/09"
"democrats",106,"07/01/09"
"democrats",2,"08/01/09"
"democrats",72,"09/01/09"
"democrats",23,"10/01/09"
"democrats",189,"11/01/09"
"democrats",203,"12/01/09"
"democrats",173,"01/01/10"
"democrats",180,"02/01/10"
"democrats",63,"03/01/10"
"democrats",179,"04/01/10"
"democrats",171,"05/01/10"
"democrats",215,"06/01/10"
"democrats",180,"07/01/10"
"democrats",47,"08/01/10"
"democrats",144,"09/01/10"
"democrats",127,"10/01/10"
"democrats",168,"11/01/10"
"democrats",137,"12/01/10"
"democrats",1,"01/01/11"
"democrats",1,"03/01/11"
"democrats",1,"04/01/11"
"democrats",1,"05/01/11"
"democrats",1,"06/01/11"
"democrats",1,"08/01/11"
"democrats",1,"09/01/11"
"democrats",1,"01/01/12"
"democrats",1,"02/01/12"
"democrats",1,"03/01/12"
"democrats",2,"04/01/12"
"democrats",1,"07/01/12"
"democrats",1,"08/01/12"
"democrats",97,"09/01/12"
"democrats",1,"10/01/12"
"democrats",1,"11/01/12"
"democrats",1,"12/01/12"
"democrats",1,"12/01/14"
"obama",1,"01/01/09"
"obama",166,"03/01/09"
"obama",52,"04/01/09"
"obama",113,"05/01/09"
"obama",201,"06/01/09"
"obama",159,"07/01/09"
"obama",13,"08/01/09"
"obama",189,"09/01/09"
"obama",157,"10/01/09"
"obama",67,"11/01/09"
"obama",21,"12/01/09"
"obama",199,"01/01/10"
"obama",19,"02/01/10"
"obama",66,"03/01/10"
"obama",119,"04/01/10"
"obama",50,"05/01/10"
"obama",231,"06/01/10"
"obama",16,"07/01/10"
"obama",155,"08/01/10"
"obama",60,"09/01/10"
"obama",217,"10/01/10"
"obama",4,"11/01/10"
"obama",209,"12/01/10"
"obama",1,"01/01/11"
"obama",147,"03/01/11"
"obama",1,"04/01/11"
"obama",1,"05/01/11"
"obama",1,"06/01/11"
"obama",1,"08/01/11"
"obama",1,"09/01/11"
"obama",1,"01/01/12"
"obama",1,"02/01/12"
"obama",1,"03/01/12"
"obama",2,"04/01/12"
"obama",1,"07/01/12"
"obama",1,"08/01/12"
"obama",34,"09/01/12"
"obama",142,"10/01/12"
"obama",23,"11/01/12"
"obama",2,"12/01/12"
"obama",1,"12/01/14"
"people",1,"01/01/09"
"people",83,"03/01/09"
"people",174,"04/01/09"
"people",16,"05/01/09"
"people",38,"06/01/09"
"people",20,"07/01/09"
"people",9,"08/01/09"
"people",112,"09/01/09"
"people",7,"10/01/09"
"people",126,"11/01/09"
"people",122,"12/01/09"
"people",61,"01/01/10"
"people",118,"02/01/10"
"people",135,"03/01/10"
"people",30,"04/01/10"
"people",96,"05/01/10"
"people",103,"06/01/10"
"people",82,"07/01/10"
"people",165,"08/01/10"
"people",162,"09/01/10"
"people",102,"10/01/10"
"people",86,"11/01/10"
"people",39,"12/01/10"
"people",1,"01/01/11"
"people",174,"03/01/11"
"people",113,"04/01/11"
"people",1,"05/01/11"
"people",23,"06/01/11"
"people",98,"08/01/11"
"people",166,"09/01/11"
"people",1,"01/01/12"
"people",1,"02/01/12"
"people",1,"03/01/12"
"people",132,"04/01/12"
"people",98,"07/01/12"
"people",1,"08/01/12"
"people",188,"09/01/12"
"people",77,"10/01/12"
"people",33,"11/01/12"
"people",180,"12/01/12"
"people",1,"12/01/14"
"percent",1,"01/01/09"
"percent",1,"03/01/09"
"percent",225,"04/01/09"
"percent",97,"05/01/09"
"percent",166,"06/01/09"
"percent",72,"07/01/09"
"percent",2,"08/01/09"
"percent",225,"09/01/09"
"percent",1,"10/01/09"
"percent",172,"11/01/09"
"percent",198,"12/01/09"
"percent",154,"01/01/10"
"percent",205,"02/01/10"
"percent",215,"03/01/10"
"percent",1,"04/01/10"
"percent",154,"05/01/10"
"percent",97,"06/01/10"
"percent",173,"07/01/10"
"percent",63,"08/01/10"
"percent",52,"09/01/10"
"percent",44,"10/01/10"
"percent",153,"11/01/10"
"percent",1,"12/01/10"
"percent",1,"01/01/11"
"percent",1,"03/01/11"
"percent",1,"04/01/11"
"percent",1,"05/01/11"
"percent",1,"06/01/11"
"percent",1,"08/01/11"
"percent",1,"09/01/11"
"percent",1,"01/01/12"
"percent",1,"02/01/12"
"percent",1,"03/01/12"
"percent",1,"04/01/12"
"percent",1,"07/01/12"
"percent",1,"08/01/12"
"percent",1,"09/01/12"
"percent",1,"10/01/12"
"percent",1,"11/01/12"
"percent",1,"12/01/12"
"percent",1,"12/01/14"
"president",1,"01/01/09"
"president",194,"03/01/09"
"president",148,"04/01/09"
"president",171,"05/01/09"
"president",222,"06/01/09"
"president",163,"07/01/09"
"president",152,"08/01/09"
"president",206,"09/01/09"
"president",181,"10/01/09"
"president",95,"11/01/09"
"president",32,"12/01/09"
"president",11,"01/01/10"
"president",70,"02/01/10"
"president",133,"03/01/10"
"president",176,"04/01/10"
"president",115,"05/01/10"
"president",42,"06/01/10"
"president",64,"07/01/10"
"president",175,"08/01/10"
"president",141,"09/01/10"
"president",38,"10/01/10"
"president",62,"11/01/10"
"president",233,"12/01/10"
"president",1,"01/01/11"
"president",147,"03/01/11"
"president",1,"04/01/11"
"president",1,"05/01/11"
"president",1,"06/01/11"
"president",1,"08/01/11"
"president",1,"09/01/11"
"president",1,"01/01/12"
"president",1,"02/01/12"
"president",1,"03/01/12"
"president",2,"04/01/12"
"president",1,"07/01/12"
"president",1,"08/01/12"
"president",153,"09/01/12"
"president",144,"10/01/12"
"president",44,"11/01/12"
"president",147,"12/01/12"
"president",1,"12/01/14"
"republican",1,"01/01/09"
"republican",1,"03/01/09"
"republican",13,"04/01/09"
"republican",34,"05/01/09"
"republican",52,"06/01/09"
"republican",106,"07/01/09"
"republican",2,"08/01/09"
"republican",72,"09/01/09"
"republican",23,"10/01/09"
"republican",189,"11/01/09"
"republican",203,"12/01/09"
"republican",173,"01/01/10"
"republican",180,"02/01/10"
"republican",63,"03/01/10"
"republican",179,"04/01/10"
"republican",171,"05/01/10"
"republican",215,"06/01/10"
"republican",180,"07/01/10"
"republican",47,"08/01/10"
"republican",144,"09/01/10"
"republican",127,"10/01/10"
"republican",168,"11/01/10"
"republican",137,"12/01/10"
"republican",1,"01/01/11"
"republican",1,"03/01/11"
"republican",1,"04/01/11"
"republican",1,"05/01/11"
"republican",1,"06/01/11"
"republican",1,"08/01/11"
"republican",1,"09/01/11"
"republican",1,"01/01/12"
"republican",1,"02/01/12"
"republican",1,"03/01/12"
"republican",2,"04/01/12"
"republican",1,"07/01/12"
"republican",1,"08/01/12"
"republican",97,"09/01/12"
"republican",1,"10/01/12"
"republican",1,"11/01/12"
"republican",1,"12/01/12"
"republican",1,"12/01/14"
"republicans",1,"01/01/09"
"republicans",1,"03/01/09"
"republicans",13,"04/01/09"
"republicans",34,"05/01/09"
"republicans",52,"06/01/09"
"republicans",106,"07/01/09"
"republicans",2,"08/01/09"
"republicans",72,"09/01/09"
"republicans",23,"10/01/09"
"republicans",189,"11/01/09"
"republicans",203,"12/01/09"
